"filename", "language", "XML", "JavaScript", "PHP", "HTML", "SCSS", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Mostafa\Dotworks App\.idea\blog.iml", "XML", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130
"d:\Mostafa\Dotworks App\.idea\discord.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Mostafa\Dotworks App\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Mostafa\Dotworks App\.idea\php.xml", "XML", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131
"d:\Mostafa\Dotworks App\.idea\phpunit.xml", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Mostafa\Dotworks App\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Mostafa\Dotworks App\.idea\workspace.xml", "XML", 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400
"d:\Mostafa\Dotworks App\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Mostafa\Dotworks App\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 20, 80
"d:\Mostafa\Dotworks App\app\Console\Kernel.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"d:\Mostafa\Dotworks App\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 28, 7, 56
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\AdminController.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 0, 0, 15, 14, 74
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Admins\AdminPermissionController.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Admins\AdminRoleController.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 8, 54
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Admins\ManagementController.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Authorization\AdminRolePermissionController.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 48, 10, 86
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Services\CategoryController.php", "PHP", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 8, 71
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Services\ManagementController.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 8, 59
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Users\ManagementController.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 8, 70
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Users\UserPermissionController.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Users\UserRoleController.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 8, 59
"d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 20, 9, 54
"d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 32, 11, 94
"d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
"d:\Mostafa\Dotworks App\app\Http\Controllers\Controller.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\IndexController.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 6, 26
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\ServiceViewController.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 0, 0, 27, 33, 146
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\SupportController.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\DashboardController.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 5, 34
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\InvoiceController.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 48, 11, 87
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\MessageController.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 10, 12, 52
"d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Order\OrderController.php", "PHP", 0, 0, 171, 0, 0, 0, 0, 0, 0, 36, 39, 246
